name,file_path,label,verb_in_name,template,is_inherited,constructors,total_methods,nonpublic_methods,static_methods,biggest_method_size,total_fields,nonpublic_fields,fields_class_refs,getters,setters,CG_edges,CG_no_entrance_vertexes,CG_no_out_vertexes,CG_comp_num,CG_strong_comp_num
string_pair,/home/peterterry/LLVM_Clang/llvm/lib/Demangle/ItaniumDemangle.cpp,-1.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
SmallVector,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/SmallVector.h,-1.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0
pointee_iterator,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/iterator.h,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoubleAPFloat,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/APFloat.h,-1.0,1.0,0.0,1.0,7.0,5.0,0.0,0.0,24.0,2.0,1.0,1.0,2.0,0.0,0.0,5.0,5.0,5.0,5.0
PopulationCounter,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/MathExtras.h,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
AlignedCharArray,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/AlignOf.h,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
identity,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,-1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
AlignTo,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/MathExtras.h,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iterator_adaptor_base,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/iterator.h,-1.0,1.0,0.0,1.0,2.0,9.0,0.1111111111111111,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0
mapped_iterator,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,-1.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,10.0,2.0,1.0,0.0,2.0,0.0,1.0,15.0,15.0,15.0,16.0
