name,file_path,label,verb_in_name,template,is_inherited,constructors,total_methods,nonpublic_methods,static_methods,biggest_method_size,total_fields,nonpublic_fields,fields_class_refs,getters,setters,CG_edges,CG_no_entrance_vertexes,CG_no_out_vertexes,CG_comp_num,CG_strong_comp_num
CountKey,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/StaticAnalyzer/Core/BlockCounter.cpp,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,17.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
Graph,/home/peterterry/LLVM_Clang/llvm/include/llvm/CodeGen/PBQP/Graph.h,0.0,1.0,0.0,1.0,3.0,73.0,0.1232876712328767,1.0,42.0,23.0,0.7391304347826086,2.0,24.0,10.0,14.0,61.0,59.0,59.0,70.0
LiveRange,/home/peterterry/LLVM_Clang/llvm/include/llvm/CodeGen/LiveInterval.h,0.0,1.0,0.0,0.0,2.0,70.0,0.04285714285714286,0.0,127.0,6.0,0.0,3.0,13.0,2.0,51.0,42.0,51.0,51.0,69.0
BumpPtrAllocatorImpl,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/Allocator.h,0.0,1.0,0.0,1.0,2.0,13.0,0.3076923076923077,1.0,64.0,6.0,1.0,0.0,3.0,0.0,3.0,10.0,11.0,11.0,13.0
mapped_iterator,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,10.0,2.0,1.0,0.0,2.0,0.0,1.0,15.0,15.0,15.0,16.0
ProgramState,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/StaticAnalyzer/Core/PathSensitive/ProgramState.h,0.0,1.0,0.0,1.0,2.0,71.0,0.056338028169014086,1.0,130.0,5.0,1.0,2.0,28.0,9.0,37.0,39.0,59.0,59.0,70.0
iterator_range,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/iterator_range.h,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
Triple,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/Triple.h,0.0,1.0,0.0,0.0,4.0,90.0,0.0,7.0,469.0,7.0,1.0,0.0,72.0,11.0,99.0,28.0,60.0,60.0,90.0
BasicAAResult,/home/peterterry/LLVM_Clang/llvm/include/llvm/Analysis/BasicAliasAnalysis.h,0.0,1.0,0.0,0.0,3.0,19.0,0.5263157894736842,3.0,561.0,16.0,0.5,10.0,9.0,0.0,15.0,10.0,10.0,10.0,16.0
FastFoldingSetNode,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
GVN,/home/peterterry/LLVM_Clang/llvm/include/llvm/Transforms/Scalar/GVN.h,0.0,1.0,0.0,1.0,0.0,48.0,0.625,0.0,403.0,20.0,0.85,13.0,5.0,6.0,17.0,39.0,31.0,31.0,47.0
MachineRegisterInfo,/home/peterterry/LLVM_Clang/llvm/include/llvm/CodeGen/MachineRegisterInfo.h,0.0,1.0,0.0,0.0,2.0,139.0,0.05755395683453238,16.0,138.0,12.0,1.0,8.0,32.0,10.0,30.0,114.0,121.0,121.0,137.0
FoldingSetNodeIDRef,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,12.0,2.0,1.0,0.0,2.0,0.0,1.0,5.0,5.0,5.0,6.0
MachineSinking,/home/peterterry/LLVM_Clang/llvm/lib/CodeGen/MachineSink.cpp,1.0,1.0,0.0,1.0,1.0,12.0,0.75,0.0,281.0,12.0,1.0,8.0,4.0,0.0,9.0,7.0,5.0,5.0,11.0
DataLayout,/home/peterterry/LLVM_Clang/llvm/include/llvm/IR/DataLayout.h,0.0,0.0,0.0,0.0,3.0,56.0,0.16071428571428573,1.0,527.0,9.0,1.0,1.0,42.0,2.0,37.0,31.0,33.0,33.0,50.0
FoldingSetNodeWrapper,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0
